Geo Point;Nom;Boissons;Site web;Téléphone;Horaires;Accessible PMR;PMR (description);Toilettes PMR;Id Wikidata;Id Wikipédia;Code postal;other_tags
44.0549704,0.2603921;Au boin coin;;;+33 5 53 65 67 45;;;;;;;;"{""cuisine"": ""tapas"", ""ref:FR:CRTA"": ""RESAQU047V506W6V"", ""capacity"": ""14"", ""description"": ""Tous les jours \u00e0 partir de 7h"", ""source"": ""BDOrtho IGN; Cadastre M\u00e0J 2015; Sirtaqui"", ""outdoor_seating"": ""yes"", ""source:ref:FR:CRTA"": ""Sirtaqui""}"
47.9094426,1.9076031;Le Diabolo Menthe;;;;;;;;;;;"{""source"": ""survey""}"
48.8020856,2.427514;Café de la Gare;;;;;;;;;;;
41.6976671,9.0644945;;;;;;;;;;;;
43.788717,4.8299152;Brasserie du Commerce;yes;;;;;;;;;13210;"{""addr:housenumber"": ""22"", ""addr:city"": ""Saint-R\u00e9my-de-Provence"", ""food"": ""yes"", ""smoking"": ""outside"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Place de la R\u00e9publique""}"
45.5853255,5.2768205;L'atelier de Chico;;;;;limited;;;;;;"{""level"": ""0""}"
45.7729836,3.0815387;Les Libellules;;;;;;;;;;;
42.2572414,8.7419293;Bar des Chasseurs;;;;;;;;;;;
45.1861757,4.3163635;Bar du Midi;;;;;;;;;;;
47.5900819,-2.8025644;Le Triskel;;;+33297443365;;;;;;;;"{""contact:phone"": ""+33680961480""}"
49.187822,-2.1709248;St Aubins Wine Bar;;;;;;;;;;;
45.9237507,6.8689689;Le Chamonix;;;;;;;;;;;"{""smoking"": ""outside"", ""outdoor_seating"": ""yes""}"
45.1821471,1.6413630000000001;Le Saint-Hilaire;;;;;;;;;;;
47.9591706,-3.5368186;L'Hermine;;;;;;;;;;29310;"{""addr:housenumber"": ""3"", ""addr:city"": ""Querrien"", ""addr:street"": ""Place de l'\u00c9glise""}"
46.8840553,-2.1186756;Le Barre de Monts;;;;;;;;;;;"{""shop"": ""newsagent"", ""tobacco"": ""yes""}"
47.2107585,-1.5624335;Le Feeling;;;+33 2 40 69 22 73;;;;;;;;"{""survey:date"": ""2018-11-30""}"
43.6996586,7.2785561;Cave de la Tour;;;;"Mardi-Samedi 07h00-20h00; Dimanche 07h00-12h30";;;;;;;"{""addr:housenumber"": ""3"", ""addr:street"": ""Rue de la Tour""}"
46.1674433,-1.0244245;;;;;;;;;;;;
49.1525062,4.1498912;Perching bar;;http://perchingbar.eu;+33 6 07 67 94 42;Mercredi-Dimanche 12h00-20h00;;;;;;51380;"{""addr:street"": ""For\u00eat de Brise Charrette""}"
43.6405822,-1.4312074;Le Marin;;;;;;;;;;;
43.6406485,-1.4314881;Le Café de la Place;;;;;;;;;;;
43.2652292,5.3904349;River pub;;;;;;;;;;13008;"{""addr:housenumber"": ""162"", ""addr:city"": ""Marseille"", ""addr:street"": ""Avenue de Mazargues""}"
50.6263268,3.1499053;À l'espérance;yes;;+33 3 74 44 11 60;"Lundi-Vendredi 07h30-20h00; Samedi 08h00-14h30; Dimanche off";limited;;;;;59650;"{""payment:mastercard"": ""yes"", ""food"": ""yes"", ""payment:visa"": ""yes"", ""payment:debit_cards"": ""yes"", ""payment:cash"": ""yes"", ""payment:notes"": ""yes"", ""smoking"": ""no"", ""air_conditioning"": ""no"", ""payment:american_express"": ""yes"", ""addr:street"": ""Place de la R\u00e9publique"", ""addr:housenumber"": ""3"", ""payment:maestro"": ""yes"", ""addr:city"": ""Villeneuve-d'Ascq"", ""payment:coins"": ""yes"", ""outdoor_seating"": ""yes"", ""payment:visa_electron"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:contactless"": ""yes"", ""payment:visa_debit"": ""yes"", ""payment:diners_club"": ""yes"", ""payment:cards"": ""yes"", ""internet_access"": ""no""}"
48.7759194,-1.5683921;Le Bambou;;;+33 2 33 61 84 31;;;;;;;50610;"{""addr:housenumber"": ""2"", ""addr:street"": ""Avenue des Sapins""}"
43.2929136,5.3730326999999996;Bar Bû;;;;;;;;;;;
46.2050749,5.2266323;Le Joffre;;;;;;;;;;;"{""ref:FR:SIRET"": ""79165424700018"", ""source"": ""Base Sirene - 2017""}"
43.5034694,-1.4683833;Aux amis réunis;;;;;;;;;;;"{""tickets:public_transport"": ""yes""}"
45.7677092,4.8308585;Le Moko;;;;;;;;;;;
48.8924076,2.3270644;Le Bar Belge;;;;;;;;;;;
44.3141524,5.8226745;Le Maypop;;;+33 492234913;;;;;;;;"{""addr:housenumber"": ""2"", ""survey:date"": ""2018-04-12"", ""addr:street"": ""Rue du Chateau""}"
46.1385601,5.9036916;Bar de l’union;;;;;;;;;;;"{""gambling"": ""PMU"", ""tobacco"": ""yes""}"
48.7579697,7.5693208;Chez Arno;;;;;;;;;;;
48.675821,2.3540091;Au Cœur de Savigny;;;;;;;;;;;
50.723092,1.6078454999999998;Guib's bar;;;;;;;;;;62200;"{""addr:housenumber"": ""46"", ""ref:FR:SIRET"": ""82939424600021"", ""addr:city"": ""Boulogne-sur-Mer"", ""ref:FR:NAF"": ""5630Z"", ""addr:street"": ""Place Dalton""}"
45.1454076,1.1541303;Top 24;;;;;;;;;;;
43.3045729,3.5395825;;;;;;;;;;;;
48.8663082,2.3516881;Happiness Bar;"Cuvée des Trolls;Delirium Tremens;Chouffe";;;;;;;;;75002;"{""addr:housenumber"": ""55"", ""internet_access"": ""no"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue R\u00e9aumur""}"
48.8206959,2.2520969;Feel Juice;;www.feeljuice.fr;;;;;;;;;"{""fixme"": ""A placer"", ""is_in"": ""Centre Commercial des 3 Moulins - All\u00e9e Sainte-Lucie""}"
46.8915257,-2.137506;Le Relais des Îles;;;;;;;;;;;"{""breakfast"": ""yes"", ""outdoor_seating"": ""yes"", ""tourism"": ""hotel""}"
48.5873902,7.7464664;Brasserie restaurant de Paris;;;;;;;;;;;
45.5446979,3.2510241;Le Manezingue;;;;;no;;;;;;"{""cuisine"": ""regional;burger"", ""outdoor_seating"": ""yes"", ""source"": ""survey 08/2019""}"
45.5425076,3.250909;HoBistro;;;;;;;;;;;
43.1848191,-0.6217562;;;;;;;;;;;;"{""outdoor_seating"": ""yes"", ""tobacco"": ""yes""}"
48.8842324,2.3522308;Cafe Royal Bar;;;;;;;;;;;"{""name:fr"": ""Cafe Royal Bar""}"
47.8417486,-0.3376702;Le Vincennes - Bar Tabac PMU;;;+33 2 43 95 02 09;;;;;;;72300;"{""addr:housenumber"": ""47"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Sabl\u00e9-sur-Sarthe"", ""addr:street"": ""Rue Gambetta""}"
49.5179547,0.5377434;Le Skeud Bar;;;;;;;;;;;
48.8588222,2.5065843;;;;;;;;;;;;
43.3034729,-0.3204376;V and B;;;;;;;;;;;"{""source"": ""R\u00e9seau SIRTAQUI - Comit\u00e9 R\u00e9gional de Tourisme d'Aquitaine - www.sirtaqui-aquitaine.com - 06/2016"", ""ref:FR:CRTA"": ""RESAQU064V56K6XA""}"
45.7778927,4.8782633;Skybar;;;+33 6 82 54 02 80;"Lundi-Vendredi 06h30-01h00; Samedi 06h30-00h00";;;;;;;
44.4823108,0.9450681999999999;maki bar;;;;;;;;;;;
48.9077576,2.3877829;Le Pile ou Face;;;;;;;;;;;
47.0202984,4.8504491;Kiki Twister;;;;;;;;;;;"{""ref:FR:SIRET"": ""807 894 423 00019""}"
47.2104092,-1.6521076;La Cantine Gourmande;;;;;;;;;;;
49.1160509,7.0510497;Sportklause;;;;;;;;;;;"{""contact:facebook"": ""https://www.facebook.com/pg/Sportklause-Hanweiler-163595840352826""}"
48.5742114,7.8128886;Pisalle Bistro;;;;;no;;no;;;77694;"{""addr:housenumber"": ""6"", ""addr:city"": ""Kehl"", ""addr:street"": ""Marktstra\u00dfe""}"
48.8896643,2.3828361;L'Atalante;"yes;various";http://atalanteourcq.fr/;+33145261382;Lundi-Dimanche 10h00-02h00;;;;;;75019;"{""addr:housenumber"": ""26"", ""name:fr"": ""L'Atalante"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Paris"", ""smoking"": ""outside"", ""addr:street"": ""Quai de la Marne"", ""email"": ""bonjour@atalanteourcq.fr"", ""internet_access"": ""wlan""}"
50.2717457,1.6750037;Caudron;;;;;;;;;;;"{""food"": ""yes"", ""tourism"": ""hotel""}"
45.6876414,3.192969;Le Terminus;;;;;;;;;;;
47.0124176,0.32468939999999996;Le Richelieu;;;;;;;;;;37120;"{""addr:housenumber"": ""13"", ""source"": ""http://www.ville-richelieu.fr/index.php?id_site=1&id_page=36"", ""addr:city"": ""Richelieu"", ""source:date"": ""2017"", ""addr:street"": ""Place du March\u00e9""}"
43.6076049,3.875458;Manchester Bar;;;;Lundi-Dimanche 18h00-01h00;;;;;;;
48.8854272,2.3165651;Le Progrès;;;;;;;;;;;"{""addr:housenumber"": ""62"", ""cuisine"": ""argentinian"", ""addr:street"": ""Rue Legendre""}"
43.2948019,5.5679853999999995;Brasserie chez Gillou;;https://fr-fr.facebook.com/Brasseriechezgillou/;09 84 32 39 48;;;;;;;13400;"{""addr:housenumber"": ""11"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Aubagne"", ""addr:street"": ""Cours Voltaire""}"
